Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TA","Animaux vivants","2","Afghanistan","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","2874","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","2","Afghanistan","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","202","Afrique du Sud","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","544","","Donnée officielle"
"TA","Animaux vivants","202","Afrique du Sud","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","8198","","Donnée officielle"
"TA","Animaux vivants","3","Albanie","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","6443","*","Chiffre non officiel"
"TA","Animaux vivants","3","Albanie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","*","Chiffre non officiel"
"TA","Animaux vivants","4","Algérie","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","5699","","Donnée officielle"
"TA","Animaux vivants","4","Algérie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","79","Allemagne","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","166356","","Donnée officielle"
"TA","Animaux vivants","79","Allemagne","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","270858","","Donnée officielle"
"TA","Animaux vivants","7","Angola","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","702","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","7","Angola","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","8","Antigua-et-Barbuda","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","23","","Donnée officielle"
"TA","Animaux vivants","8","Antigua-et-Barbuda","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","3","","Donnée officielle"
"TA","Animaux vivants","151","Antilles néerlandaises (ex)","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","115","F","Estimation FAO"
"TA","Animaux vivants","194","Arabie saoudite","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","5747","*","Chiffre non officiel"
"TA","Animaux vivants","194","Arabie saoudite","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","4194","*","Chiffre non officiel"
"TA","Animaux vivants","9","Argentine","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","625","","Donnée officielle"
"TA","Animaux vivants","9","Argentine","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","289","","Donnée officielle"
"TA","Animaux vivants","1","Arménie","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","7243","","Donnée officielle"
"TA","Animaux vivants","1","Arménie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","85","","Donnée officielle"
"TA","Animaux vivants","22","Aruba","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","37","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","22","Aruba","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","11","F","Estimation FAO"
"TA","Animaux vivants","10","Australie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","258","","Donnée officielle"
"TA","Animaux vivants","11","Autriche","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","11802","","Donnée officielle"
"TA","Animaux vivants","11","Autriche","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","9805","","Donnée officielle"
"TA","Animaux vivants","52","Azerbaïdjan","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","6942","","Donnée officielle"
"TA","Animaux vivants","52","Azerbaïdjan","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","4","","Donnée officielle"
"TA","Animaux vivants","12","Bahamas","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","515","*","Chiffre non officiel"
"TA","Animaux vivants","13","Bahreïn","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","151","*","Chiffre non officiel"
"TA","Animaux vivants","13","Bahreïn","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","","M","Donnée non disponible"
"TA","Animaux vivants","16","Bangladesh","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","2356","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","16","Bangladesh","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","14","Barbade","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","14","Barbade","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","602","","Donnée officielle"
"TA","Animaux vivants","57","Bélarus","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","22533","","Donnée officielle"
"TA","Animaux vivants","57","Bélarus","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","56","","Donnée officielle"
"TA","Animaux vivants","255","Belgique","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","154169","","Donnée officielle"
"TA","Animaux vivants","255","Belgique","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","99615","","Donnée officielle"
"TA","Animaux vivants","15","Belgique-Luxembourg","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","15","Belgique-Luxembourg","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","23","Belize","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","121","","Donnée officielle"
"TA","Animaux vivants","23","Belize","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","53","Bénin","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","73","","Donnée officielle"
"TA","Animaux vivants","53","Bénin","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","17","Bermudes","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","","Donnée officielle"
"TA","Animaux vivants","18","Bhoutan","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","16","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","19","Bolivie (État plurinational de)","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","1623","","Donnée officielle"
"TA","Animaux vivants","19","Bolivie (État plurinational de)","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","80","Bosnie-Herzégovine","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","888","*","Chiffre non officiel"
"TA","Animaux vivants","80","Bosnie-Herzégovine","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","1227","","Donnée officielle"
"TA","Animaux vivants","20","Botswana","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","807","*","Chiffre non officiel"
"TA","Animaux vivants","20","Botswana","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","","Donnée officielle"
"TA","Animaux vivants","21","Brésil","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","156","","Donnée officielle"
